Reading Test Driver data...done
Reading query mix file: queries\explore\querymix.txt
Reading query ignore file: queries\explore\ignoreQueries.txt

Starting test...

Generating queries...done
Clients created.
Thread 1: query mix 170: 0.00ms, total: 0.07ms
Thread 2: query mix 171: 0.00ms, total: 0.07ms
Thread 3: query mix 169: 0.00ms, total: 0.14ms
Thread 4: query mix 166: 0.00ms, total: 0.06ms
Thread 2: query mix 173: 0.00ms, total: 0.07ms
Thread 1: query mix 172: 0.00ms, total: 0.07ms
Thread 4: query mix 175: 0.00ms, total: 0.08ms
Thread 3: query mix 174: 0.00ms, total: 0.07ms
Thread 1: query mix 177: 0.00ms, total: 0.08ms
Thread 2: query mix 176: 0.00ms, total: 0.07ms
Thread 3: query mix 179: 0.00ms, total: 0.07ms
Thread 4: query mix 178: 0.00ms, total: 0.07ms
Thread 2: query mix 181: 0.00ms, total: 0.07ms
Thread 1: query mix 180: 0.00ms, total: 0.07ms
Thread 4: query mix 183: 0.00ms, total: 0.07ms
Thread 3: query mix 182: 0.00ms, total: 0.07ms
Thread 1: query mix 185: 0.00ms, total: 0.14ms
Thread 3: query mix 187: 0.00ms, total: 0.07ms
Thread 2: query mix 184: 0.00ms, total: 0.07ms
Thread 3: query mix 189: 0.00ms, total: 0.07ms
Thread 2: query mix 190: 0.00ms, total: 0.07ms
Thread 4: query mix 186: 0.00ms, total: 0.07ms
Thread 2: query mix 192: 0.00ms, total: 0.11ms
Thread 3: query mix 191: 0.00ms, total: 0.06ms
Thread 2: query mix 194: 0.00ms, total: 0.11ms
Thread 1: query mix 188: 0.00ms, total: 0.07ms
Thread 2: query mix 196: 0.00ms, total: 0.11ms
Thread 3: query mix 195: 0.00ms, total: 0.06ms
Thread 2: query mix 198: 0.00ms, total: 0.11ms
Thread 4: query mix 193: 0.00ms, total: 0.06ms
Thread 2: query mix 200: 0.00ms, total: 0.11ms
Thread 3: query mix 199: 0.00ms, total: 0.06ms
Thread 2: query mix 202: 0.00ms, total: 0.11ms
Thread 1: query mix 197: 0.00ms, total: 0.06ms
Thread 2: query mix 204: 0.00ms, total: 0.07ms
Thread 1: query mix 205: 0.00ms, total: 0.10ms
Thread 3: query mix 203: 0.00ms, total: 0.06ms
Thread 3: query mix 208: 0.00ms, total: 0.06ms
Thread 4: query mix 201: 0.00ms, total: 0.06ms
Thread 3: query mix 209: 0.00ms, total: 0.11ms
Thread 1: query mix 207: 0.00ms, total: 0.07ms
Thread 3: query mix 211: 0.00ms, total: 0.11ms
Thread 2: query mix 206: 0.00ms, total: 0.07ms
Thread 3: query mix 213: 0.00ms, total: 0.11ms
Thread 1: query mix 212: 0.00ms, total: 0.06ms
Thread 3: query mix 215: 0.00ms, total: 0.11ms
Thread 4: query mix 210: 0.00ms, total: 0.07ms
Thread 3: query mix 217: 0.00ms, total: 0.11ms
Thread 1: query mix 216: 0.00ms, total: 0.06ms
Thread 3: query mix 219: 0.00ms, total: 0.11ms
Thread 2: query mix 214: 0.00ms, total: 0.06ms
Thread 3: query mix 221: 0.00ms, total: 0.11ms
Thread 1: query mix 220: 0.00ms, total: 0.06ms
Thread 3: query mix 223: 0.00ms, total: 0.11ms
Thread 4: query mix 218: 0.00ms, total: 0.06ms
Thread 3: query mix 225: 0.00ms, total: 0.11ms
Thread 1: query mix 224: 0.00ms, total: 0.06ms
Thread 2: query mix 222: 0.00ms, total: 0.06ms
Thread 3: query mix 227: 0.00ms, total: 0.18ms
Thread 1: query mix 228: 0.00ms, total: 0.24ms
Thread 3: query mix 230: 0.00ms, total: 0.12ms
Thread 4: query mix 226: 0.00ms, total: 0.09ms
Thread 3: query mix 232: 0.00ms, total: 0.08ms
Thread 4: query mix 233: 0.00ms, total: 0.10ms
Thread 1: query mix 231: 0.00ms, total: 0.06ms
Thread 2: query mix 229: 0.00ms, total: 0.06ms
Thread 4: query mix 235: 0.00ms, total: 0.06ms
Thread 3: query mix 234: 0.00ms, total: 0.06ms
Thread 2: query mix 237: 0.00ms, total: 0.07ms
Thread 4: query mix 238: 0.00ms, total: 0.07ms
Thread 2: query mix 240: 0.00ms, total: 0.07ms
Thread 4: query mix 241: 0.00ms, total: 0.07ms
Thread 1: query mix 236: 0.00ms, total: 0.07ms
Thread 2: query mix 242: 0.00ms, total: 0.06ms
Thread 1: query mix 244: 0.00ms, total: 0.07ms
Thread 2: query mix 245: 0.00ms, total: 0.07ms
Thread 3: query mix 239: 0.00ms, total: 0.14ms
Thread 1: query mix 246: 0.00ms, total: 0.06ms
Thread 4: query mix 243: 0.00ms, total: 0.14ms
Thread 3: query mix 248: 0.00ms, total: 0.06ms
Thread 2: query mix 247: 0.00ms, total: 0.07ms
Thread 4: query mix 250: 0.00ms, total: 0.06ms
Thread 1: query mix 249: 0.00ms, total: 0.06ms
Thread 2: query mix 252: 0.00ms, total: 0.07ms
Thread 3: query mix 251: 0.00ms, total: 0.07ms
Thread 1: query mix 254: 0.00ms, total: 0.07ms
Thread 4: query mix 253: 0.00ms, total: 0.07ms
Thread 2: query mix 255: 0.00ms, total: 0.07ms
Benchmark run completed in 0.049940607s

Scale factor:           1000
Number of warmup runs:  50
Number of clients:      4
Seed:                   808080
Number of query mix runs (without warmups): 256 times
min/max Querymix runtime: 0.0000s / 0.0000s
Total runtime (sum):    0.000 seconds
Total actual runtime:   0.050 seconds
QMpH:                   18453920.67 query mixes per hour
CQET:                   0.00000 seconds average runtime of query mix
CQET (geom.):           0.00000 seconds geometric mean runtime of query mix

Metrics for Query:      1
Count:                  0 times executed in whole run
AQET:                   0.000000 seconds (arithmetic mean)
AQET(geom.):            NaN seconds (geometric mean)
QPS:                    NaN Queries per second
minQET/maxQET:          179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000000s / 0.00000000s
Average result count:   0.00
min/max result count:   2147483647 / -2147483648
Number of timeouts:     0

Metrics for Query:      2
Count:                  0 times executed in whole run
AQET:                   0.000000 seconds (arithmetic mean)
AQET(geom.):            NaN seconds (geometric mean)
QPS:                    NaN Queries per second
minQET/maxQET:          179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000000s / 0.00000000s
Average result count:   0.00
min/max result count:   2147483647 / -2147483648
Number of timeouts:     0

Metrics for Query:      3
